id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,hatch_perc,sedan_perc,suv_perc,two_perc,three_perc,pedes_perc,bus_perc,truck_perc
0,-0.001861576,0.013957962,0.009938932,0.020419736,0.007533478,-0.010889091,0.003878022,0.012769717,0.010489094,0.003712122,-0.002421883,-0.005872784,-0.025686979,0.003159912,0.013312781,-0.028775566,-0.021985854,-0.005434561,0.018819198,-0.003740782,-0.006486771,-0.03589,-0.004975522,0.005615098,0.010815958,0.005911602,-0.006905262,0.00577813,0.024000927,0.022667014,0.136831418,0.124101144,0.072705443,0.369750217,0.136380486,0.075264654,0.042704856,0.042261783
1,-0.004707126,0.016785518,0.00779994,0.022462698,0.013695187,-0.015048016,-0.006291776,0.010849105,0.016717653,-0.002801646,-0.018151466,-0.020452376,-0.034116457,-0.007938449,0.006000492,-0.030456371,-0.018701785,-0.012278867,0.026377684,0.009991974,-0.003783094,-0.03589,-0.003932473,0.009880412,0.022222739,0.012783906,5.31E-05,0.012612566,0.030536216,0.032946273,0.105833349,0.173441468,0.075186237,0.350005982,0.160567491,0.077349082,0.039708477,0.017907913
2,-0.006673047,0.007358185,0.006216124,0.013883297,0.004411142,-0.009845502,0.000646377,0.01314026,0.009161236,0.002104413,-0.004724079,-0.006365231,-0.024546989,0.002371768,0.010527615,-0.027760421,-0.018685774,-0.005948143,0.018179666,-0.001589716,-0.003034275,-0.03589,-0.009393168,0.008318569,0.012088485,0.009040884,-0.002924868,0.008231608,0.027174934,0.027038348,0.153957814,0.142499754,0.08408598,0.275007269,0.121258105,0.136463273,0.045086524,0.041641281
3,-0.00559395,0.012040471,0.007101233,0.018938571,0.003746579,-0.021017911,-0.008074358,0.013174918,0.006743522,0.001381013,-0.01486885,-0.01113567,-0.032308646,0.001893712,0.011633344,-0.029386193,-0.022593615,-0.001514904,0.026554887,-0.00431263,0.002023576,-0.03589,-0.002853962,0.013460889,0.014346026,0.01367055,-0.008228165,0.010111272,0.031299249,0.031628897,0.140301814,0.178404225,0.064476777,0.273805196,0.099223062,0.16238594,0.046131077,0.035271911
4,-0.014686377,0.01594095,0.005616907,0.013821403,0.005514185,-0.022367786,0.00717542,0.004241759,0.009875278,-0.000286803,-0.009165624,-0.013258545,-0.039342256,2.51E-05,0.013358134,-0.023237261,-0.012489817,-0.006578551,0.028922988,-0.008722131,-0.000532793,-0.03589,0.003291102,0.011336707,0.013821743,0.013225048,-0.003053855,0.017495013,0.033798682,0.035627078,0.1122347,0.11275372,0.077334807,0.408418469,0.115130097,0.072669037,0.075456494,0.026002676
5,-0.000266905,0.015848183,0.009256635,0.020515288,0.007089352,-0.015726614,0.003131625,0.01279392,0.00969212,0.002608566,0.003050615,-0.010030845,-0.03071957,0.003042993,0.010928846,-0.031055084,-0.024884705,-0.007610431,0.018181061,-0.007839217,-0.007205136,-0.03589,0.001852927,0.006147317,0.012407079,0.007799035,-0.009749014,0.009860066,0.023636306,0.026167711,0.156029111,0.152311778,0.081463922,0.33535199,0.115022769,0.068558645,0.041729846,0.049531937
7,0.001568832,0.016883673,0.010483206,0.016159736,0.008480934,-0.012887452,-0.024932362,0.014039283,0.013236938,0.005060427,-0.032915033,-0.010217088,-0.030823087,0.002499412,0.013192117,-0.036990495,-0.023705859,-0.006410457,0.020276134,-0.000254949,-0.000778125,-0.03589,0.002711482,0.010490727,0.015784449,0.009314891,-0.008413585,0.01057877,0.033037454,0.03408954,0.103654579,0.262714105,0.051669309,0.205189566,0.086344257,0.194900352,0.047254463,0.048273369
8,-0.001966956,0.012615374,0.007500789,0.019634866,0.008748196,-0.01215483,0.005714479,0.011921556,0.007688919,0.001078741,-0.00118493,-0.006321828,-0.027948289,0.005666435,0.01324518,-0.025663769,-0.019768827,-0.00708337,0.021427265,-0.004606217,-0.00448944,-0.03589,-0.001079318,0.006984312,0.008963229,0.007671295,-0.009769044,0.00502026,0.023676183,0.024760362,0.126002961,0.115064821,0.070524706,0.40459857,0.120088442,0.090134866,0.037939414,0.035646221
9,-0.006132231,0.014034993,0.011626575,0.021692254,0.013372241,-0.008591923,-0.028815346,0.012420229,0.024420405,0.004916965,-0.034877281,-0.011952687,-0.033572163,-0.007731659,0.015683513,-0.020915124,-0.023003943,-0.00649644,0.033662635,-0.005128972,-0.010035081,-0.038280799,0.00061805,0.003276854,0.021179743,0.022719442,-0.00734012,0.015058685,0.039153273,0.040346405,0.125020006,0.275536435,0.057228103,0.168733777,0.040676662,0.269209022,0.044565779,0.019030217
20,-0.00656256,-0.002724374,0.007587075,0.032757054,-0.004959281,-0.030074347,0.004279131,0.003423021,0.010649891,-0.010171602,-0.01032863,-0.010500185,-0.032983379,-0.011883386,-0.004662528,-0.026772434,-0.004175331,0.002003546,0.030935936,-0.012505496,0.003445075,-0.03589,-0.002018351,0.00468319,0.009599021,-0.006855912,-0.022745948,0.005155337,0.009084619,0.018929108,0.148703705,0.147315703,0.082863616,0.320839654,0.071333108,0.101832044,0.058918688,0.068193483
21,0.006591712,0.02022673,0.011842513,0.022238227,0.005097998,-0.017988046,0.00656185,0.016962421,0.015043161,0.004292981,0.000881487,-0.008838591,-0.030906038,0.006000431,0.016385033,-0.033093014,-0.024484017,-0.010612119,0.014204506,-0.00960403,-0.010056658,-0.035851837,-0.003424588,0.002166665,0.004983539,0.003728067,-0.014382523,0.004633349,0.020476926,0.022830804,0.113186357,0.081368155,0.061545855,0.487699107,0.09358637,0.097152131,0.031183714,0.034278311
22,0.003760938,0.008227435,0.005987375,0.01622655,0.003409292,-0.040086209,0.007819037,0.01145721,-0.007791386,-0.00075275,0.004189018,-0.010423418,-0.015074656,0.002615852,0.014662454,-0.020565183,-0.007592995,-0.000952896,0.019967617,-0.011993445,-0.001224436,-0.03589,-0.006927354,-0.01609323,-0.000487925,0.001652124,-0.038960248,-0.000305725,0.014851111,0.024157579,0.113128256,0.081273954,0.045675694,0.435868555,0.101794189,0.1474303,0.03992088,0.034908173
23,0.017819721,0.034768632,0.026482468,0.025671248,-0.008591272,-0.037870597,0.00923294,0.023797215,0.01789046,0.01077944,0.003862436,-0.018412026,-0.040273692,0.015820615,0.02429769,-0.033975157,-0.009508223,0.001146018,0.004315477,-0.035167398,0.002227199,-0.03589,-0.022057977,-0.00763213,0.014254924,-0.005988584,-0.016708877,0.015849333,0.036097869,0.029665024,0.071825284,0.062089898,0.060622004,0.252781082,0.15490329,0.326474816,0.044837775,0.026465852
24,0.010996215,0.026680257,0.015585667,0.032289303,0.012348472,-0.016386135,0.007118131,0.02001856,0.013230881,0.003612737,0.006042734,-0.003587447,-0.030231825,0.009392959,0.016460993,-0.02983694,-0.023050864,-0.013438586,-0.001307714,-0.026556378,-0.014861351,-0.03608828,-0.011602414,-0.008234453,-0.001874465,0.002305896,-0.02042371,-0.000586521,0.013858159,0.012001203,0.085138181,0.058650997,0.047602733,0.497986509,0.10475731,0.164054403,0.021711621,0.020098246
25,0.006664108,0.022168084,0.013054525,0.020471053,0.006701185,-0.013248773,0.002230197,0.01295226,0.013140289,0.002365049,-0.000495722,-0.006303933,-0.026535664,0.002262325,0.011654011,-0.033363783,-0.023801466,-0.010655216,0.016175832,-0.008739422,-0.009641058,-0.036162748,-0.00692407,-0.002079336,0.000569151,-0.000593074,-0.011767928,0.002723122,0.016352106,0.020034072,0.121418128,0.08787081,0.072196452,0.459777506,0.109416298,0.089836035,0.030432216,0.029052554
26,0.002004007,0.011025113,0.022352903,0.018138172,0.003192866,-0.038971013,-0.000689694,0.018755402,0.015999131,0.008059949,0.000688565,0.002187018,-0.021618803,0.026306238,0.033400452,-0.036491316,-0.033865732,-0.010871365,0.011351414,-0.024678178,-0.005343286,-0.03589,0.007996481,-0.000964498,0.004388054,0.009705582,-0.027671528,0.019230556,0.037662854,0.029981389,0.098095882,0.055158852,0.0506982,0.368338139,0.140399345,0.260171654,0.02458363,0.002554297
27,0.00179957,0.016454512,0.008970093,0.022188991,0.006046646,-0.015771715,0.003788368,0.016038152,0.013549223,0.001552693,-0.005792713,-0.009873572,-0.032836231,-0.000181956,0.013348629,-0.0329739,-0.025687596,-0.010187084,0.019675812,-0.006787846,-0.007364843,-0.03589,-0.001386838,0.00912101,0.008868414,0.012011008,-0.011051871,0.008389935,0.021433098,0.027993694,0.054140703,0.031554173,0.026602805,0.630093927,0.126408345,0.074530607,0.038533052,0.018136386
28,-0.01953936,-0.031268196,-0.00276406,0.019419401,-0.01080007,-0.043939989,-0.000748503,-0.011209911,0.004146393,-0.010081822,0.00330215,-0.018050689,-0.038351268,0.017954048,0.013391427,-0.021254841,-0.018178306,-0.012900472,0.006997177,-0.037063673,-0.009016196,-0.03589,0.017937441,0.015278971,0.011969877,0.017531539,-0.038796205,0.028632636,0.030684953,0.0289152,0.10345533,0.103542258,0.044917654,0.400282232,0.106281786,0.174244677,0.038917981,0.028358082
29,-0.024331551,0.013636364,0.017647059,0.010427807,-0.012566845,-0.009625668,0.005080214,-0.002139037,0.00026738,0.004545455,0.007754011,-0.007219251,-0.015775401,0.004812834,0,-0.037165775,-0.028342246,0.03342246,0.04596,0.037700535,-0.023796791,-0.03589,-0.006417112,-0.02486631,0.002673797,0.005080214,-0.018181818,0.004812834,0.036096257,0.012299465,0.067128984,0.050937158,0.063053295,0.464123924,0.208565029,0.107545928,0.010734912,0.027910771
31,0.008030872,0.023020485,0.017441103,0.013962359,0.006151345,-0.019498662,0.000740058,0.004315683,0.011205427,-0.00592392,-0.005036771,-0.01095651,-0.03577779,0.001455492,0.009375283,-0.021234554,-0.021215612,0.001524966,0.012045647,-0.018270818,-0.02031557,-0.03589,-0.009271197,0.000513644,0.004509033,0.006770719,-0.003249027,0.008537024,0.033457582,0.02224162,0.050861962,0.044738999,0.037672245,0.509099945,0.271968768,0.044239757,0.039394225,0.002024099
